3,0
12,1
13,2
16,1
17,1
19,1
21,2
36,3
47,4
41,0
55,5
57,3
66,3
74,3
63,3
70,3
88,5
72,3
86,1
110,5
112,0
123,6
102,5
150,7
154,7
171,8
173,8
174,1
204,9
197,9
227,10
181,8
232,11
237,10
238,10
234,10
243,9
248,10
250,11
253,11
255,1
259,1
264,1
265,1
273,1
277,12
278,12
271,1
283,12
288,13
305,13
308,13
310,13
311,13
313,13
321,12
322,12
325,12
347,13
350,13
356,14
361,14
368,15
369,15
372,14
379,14
402,16
416,14
437,14
438,14
443,16
440,16
251,11
252,11
249,11
246,11
247,11
436,14
439,14
423,14
435,14
420,14
421,14
422,14
349,13
334,13
326,13
266,1
267,1
268,1
269,0
272,1
274,1
275,1
176,1
348,15
362,15
363,15
353,13
260,0
262,0
65,5
87,5
105,5
106,5
107,5
108,5
109,5
89,5
90,5
91,5
92,5
93,5
94,13
95,5
96,5
97,5
98,6
99,0
100,5
101,5
82,5
52,0
48,5
43,0
29,0
192,11
193,11
194,11
195,11
258,3
49,3
50,3
53,3
54,3
58,3
67,3
68,3
60,3
62,3
11,1
20,1
18,1
14,1
15,1
4,2
5,2
6,1
7,2
1,1
2,2
9,2
104,5
261,2
122,5
124,5
324,12
357,14
358,14
359,14
360,14
343,14
344,12
335,12
336,14
337,12
338,14
373,14
374,14
282,12
323,12
316,12
317,12
318,12
319,12
291,12
292,12
293,12
298,12
299,12
300,12
301,12
302,12
279,12
377,14
378,14
390,14
391,14
394,14
395,14
396,14
397,14
398,14
399,14
400,14
433,14
434,14
424,14
425,14
413,14
414,14
415,14
285,8
286,8
287,13
175,8
172,8
166,8
167,8
168,8
169,8
170,8
383,15
366,15
431,16
432,16
428,16
444,16
445,16
446,16
244,9
245,9
242,9
177,8
178,17
73,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
61,3
69,3
59,3
83,3
84,3
71,3
64,3
179,3
180,8
182,8
417,15
418,15
419,15
384,15
385,15
386,15
387,15
388,15
389,15
355,14
345,15
346,14
113,5
114,6
115,0
116,6
117,6
118,6
119,6
120,6
121,6
30,2
31,6
32,2
33,4
34,1
35,1
22,2
23,2
24,2
25,2
26,0
27,2
28,2
375,16
376,14
404,16
333,13
289,13
290,13
284,13
303,8
304,13
314,13
315,13
309,13
306,13
307,13
327,13
320,12
294,12
295,12
296,12
297,12
280,12
281,12
276,7
339,12
340,12
341,12
342,12
367,15
354,15
233,10
239,10
240,9
241,9
235,10
236,10
196,9
228,10
229,9
230,10
231,10
198,9
199,9
200,10
201,9
202,9
203,9
205,10
206,9
207,10
208,9
209,9
210,9
211,10
212,10
213,9
214,9
215,9
216,9
217,10
218,10
219,9
220,10
221,9
222,10
223,10
224,10
225,10
226,10
405,16
407,14
408,16
37,4
38,4
39,4
40,4
56,4
42,4
51,4
44,3
45,4
46,4
125,6
126,18
127,6
128,18
129,18
130,18
131,18
132,6
133,18
134,18
135,18
136,18
137,18
138,18
139,18
140,18
141,18
142,18
143,18
144,18
145,18
146,7
147,18
148,18
149,18
151,18
152,7
153,7
155,18
156,7
157,7
158,18
159,18
161,7
162,7
163,7
164,7
165,7
409,16
410,16
411,14
412,16
406,16
427,16
429,16
430,16
401,14
403,16
184,17
185,17
186,17
187,17
188,17
189,17
190,17
191,17
352,15
364,15
365,13
351,13
312,13
328,13
329,13
330,13
331,13
332,13
256,1
257,1
254,1
263,1
183,1
160,1
85,1
10,0
8,0
270,0
392,14
393,14
370,14
371,14
380,14
381,14
382,15
426,16
441,16
442,16
