,address,districtCode,districtName,id,name,nearbyStations,stationType,zipCode,lat,lon
180,300 - Providencia -Luz Saviñon,DVN,Del Valle Norte,300,300 PROVIDENCIA -LUZ SAVIÑON,"[301, 302, 317]",BIKE,3103,19.393268,-99.168333
181,301 - Luz Saviñón-Magdalena,DVN,Del Valle Norte,301,301 LUZ SAVIÑÓN-MAGDALENA,"[300, 302, 316]",BIKE,3103,19.393807,-99.171133
182,302 - Luz Saviñon-Magdalena,DVN,Del Valle Norte,302,302 LUZ SAVIÑON-MAGDALENA,"[301, 303, 304]",BIKE,3103,19.393832,-99.171466
183,279 - La Morena-Providencia,DVN,Del Valle Norte,279,279 LA MORENA-PROVIDENCIA,"[164, 278, 282]",BIKE,3103,19.399908,-99.166553
184,377 - Heriberto Frías-Miguel Laurent,DVS,Del Valle Sur,377,377 HERIBERTO FRÍAS-MIGUEL LAURENT,"[373, 376, 400]",BIKE,3104,19.375394,-99.16375
185,378 - Miguel Laurent-Amores,DVS,Del Valle Sur,378,378 MIGUEL LAURENT-AMORES,"[372, 373, 379]",BIKE,3104,19.375823,-99.168076
186,390 - Oso-Felix Cuevas,DVS,Del Valle Sur,390,390 OSO-FELIX CUEVAS,"[389, 391, 416]","BIKE,TPV",3104,19.373228,-99.17826
187,391 - Oso-Felix Cuevas,DVS,Del Valle Sur,391,391 OSO-FELIX CUEVAS,"[389, 390, 416]",BIKE,3104,19.373142,-99.178283
188,394 - Dr. Roberto Gayol-Felix Cuevas,DVS,Del Valle Sur,394,394 DR. ROBERTO GAYOL-FELIX CUEVAS,"[393, 395, 396]",BIKE,3104,19.372437,-99.171592
189,395 - San Lorenzo-Callejón Martín Menlalde,DVS,Del Valle Sur,395,395 SAN LORENZO-CALLEJÓN MARTÍN MENLALDE,"[379, 394, 396]",BIKE,3104,19.373742,-99.169814
190,396 - Martín Menlalde-Felix Cuevas,DVS,Del Valle Sur,396,396 MARTÍN MENLALDE-FELIX CUEVAS,"[394, 395, 413]",BIKE,3104,19.371554,-99.170187
191,397 - San Lorenzo-Gabriel Mancera,DVS,Del Valle Sur,397,397 SAN LORENZO-GABRIEL MANCERA,"[398, 399, 400]",BIKE,3104,19.373194,-99.167247
192,398 - Sanchez Azcona-Felix Cuevas,DVS,Del Valle Sur,398,398 SANCHEZ AZCONA-FELIX CUEVAS,"[397, 399, 400]",BIKE,3104,19.37103,-99.16566
193,399 - Heriberto Frías-San Lorenzo,DVS,Del Valle Sur,399,399 HERIBERTO FRÍAS-SAN LORENZO,"[397, 398, 400]",BIKE,3104,19.372407,-99.164519
194,400 - San Lorenzo-Heriberto Frias,DVS,Del Valle Sur,400,400 SAN LORENZO-HERIBERTO FRIAS,"[397, 398, 399]",BIKE,3104,19.3726458,-99.1642743
195,433 - Jose María Olloqui-Lopéz Costilla,DVS,Del Valle Sur,433,433 JOSE MARÍA OLLOQUI-LOPÉZ COSTILLA,"[434, 435, 439]",BIKE,3104,19.363558,-99.170819
196,434 - Jose María Olloqui-Amores,DVS,Del Valle Sur,434,434 JOSE MARÍA OLLOQUI-AMORES,"[433, 435, 439]","BIKE,TPV",3104,19.363776,-99.171498
197,424 - Amores-José María Rico (Eje 8),DVS,Del Valle Sur,424,424 AMORES-JOSÉ MARÍA RICO (EJE 8),"[413, 425, 435]",BIKE,3104,19.367208,-99.170531
198,425 - Nicolas San Juan-Avenida Universidad,DVS,Del Valle Sur,425,425 NICOLAS SAN JUAN-AVENIDA UNIVERSIDAD,"[411, 412, 426]",BIKE,3104,19.367087,-99.16741
199,413 - Parroquia-Avenida Coyoacán,DVS,Del Valle Sur,413,413 PARROQUIA-AVENIDA COYOACÁN,"[396, 414, 424]",BIKE,3104,19.369782,-99.171906
200,414 - Parroquia-José Ignacio Bartolache,DVS,Del Valle Sur,414,414 PARROQUIA-JOSÉ IGNACIO BARTOLACHE,"[413, 415, 423]",BIKE,3104,19.370187,-99.173712
201,415 - San Francisco-Parroquía,DVS,Del Valle Sur,415,415 SAN FRANCISCO-PARROQUÍA,"[391, 414, 416]",BIKE,3104,19.371498,-99.17602
202,285 - 12 De Octubre-Mineria,ESC,Escandón,285,285 12 DE OCTUBRE-MINERIA,"[171, 173, 286]",BIKE,11800,19.399688,-99.177524
203,286 - 13 De Septiembre-Avenida Patriotismo,ESC,Escandón,286,286 13 DE SEPTIEMBRE-AVENIDA PATRIOTISMO,"[171, 285, 287]",BIKE,11800,19.399201,-99.179943
204,287 - 13 De Septiembre-Puente De La Morena,ESC,Escandón,287,287 13 DE SEPTIEMBRE-PUENTE DE LA MORENA,"[286, 288, 311]",BIKE,11800,19.398946,-99.183254
205,175 - Mutualismo-José Martí,ESC,Escandón,175,175 MUTUALISMO-JOSÉ MARTí,"[169, 179, 182]",BIKE,,19.400806,-99.172645
206,172 - General Francisco Murguia-Jose Martí,ESC,Escandón,172,172 GENERAL FRANCISCO MURGUIA-JOSE MARTÍ,"[167, 170, 171]",BIKE,,19.403365,-99.181553
207,166 - Progreso-Cda. Antonio Maceo,ESC,Escandón,166,166 PROGRESO-CDA. ANTONIO MACEO,"[170, 172, 181]",BIKE,,19.406069,-99.183549
208,167 - General Salvador Alvarado-Progreso,ESC,Escandón,167,167 GENERAL SALVADOR ALVARADO-PROGRESO,"[168, 172, 178]",BIKE,,19.404651,-99.179375
209,168 - Comercio-Progreso,ESC,Escandón,168,168 COMERCIO-PROGRESO,"[167, 169, 173]","BIKE,TPV",,19.403997,-99.1776
210,169 - Prosperidad-Progreso,ESC,Escandón,169,169 PROSPERIDAD-PROGRESO,"[168, 170, 175]",BIKE,,19.403019,-99.174934
211,170 - Observatorio Oriente-Revolución,ESC,Escandón,170,170 OBSERVATORIO ORIENTE-REVOLUCIÓN,"[166, 167, 172]",BIKE,,19.404029,-99.184342
212,383 - Luis Caracci-2da. Luis Caracci,EXI,Extremadura Insurgentes,383,383 LUIS CARACCI-2DA. LUIS CARACCI,"[366, 382, 387]",BIKE,3740,19.375764,-99.181527
213,366 - Porfirio Díaz-Augusto Rodín,EXI,Extremadura Insurgentes,366,366 PORFIRIO DÍAZ-AUGUSTO RODÍN,"[362, 367, 368]",BIKE,3740,19.378345,-99.181973
214,431 - Bruno Traven-Paz Montes De Oca,GPM,General Pedro Maria Anaya,431,431 BRUNO TRAVEN-PAZ MONTES DE OCA,"[428, 429, 430]",BIKE,3340,19.36145,-99.15822
215,432 - Carrillo Pto-Golondrinas,GPM,General Pedro Maria Anaya,432,432 CARRILLO PUERTO-AV. MÉXICO-COYOACÁN,"[442, 443, 444]",BIKE,3340,19.361296,-99.162581
216,428 - Prolongación Uxmal-Av. Popocatepetl (Eje 8),GPM,General Pedro Maria Anaya,428,428 PROLONGACIÓN UXMAL-AV. POPOCATEPETL (EJE 8),"[427, 430, 431]",BIKE,3340,19.363418,-99.160353
217,444 - General Manuel Rincón-Agustín Gutierrez,GPM,General Pedro Maria Anaya,444,444 GENERAL MANUEL RINCÓN-AGUSTÍN GUTIERREZ,"[431, 432, 443]",BIKE,3340,19.359384,-99.159425
218,445 - Riff-Avenida Rio Churubusco,GPM,General Pedro Maria Anaya,445,445 RIFF-AVENIDA RIO CHURUBUSCO,"[431, 444, 446]",BIKE,3340,19.35827,-99.156105
219,446 - Riff-Avenida Rio Churubusco,GPM,General Pedro Maria Anaya,446,446 RIFF-AVENIDA RIO CHURUBUSCO,"[431, 444, 445]","BIKE,TPV",3340,19.3591196,-99.1561282
220,244 - Miguel de Cervantes Saavedra-Lago Victoria,GRA,Granada,244,244 MIGUEL DE CERVANTES SAAVEDRA-LAGO VICTORIA ,"[196, 243, 245]",BIKE,11510,19.440885,-99.193315
221,245 - Lago Onega-Av. Ejército Nacional,GRA,Granada,245,245 LAGO ONEGA-AV. EJERCITO NACIONAL ,"[196, 200, 201]",BIKE,11510,19.438165,-99.190368
222,242 - Miguel de Cervantes Saavedra-Pról. Moliere,GRA,Granada,242,242 MIGUEL DE CERVANTES SAAVEDRA-PROL MOLIERE ,"[198, 199, 243]",BIKE,11510,19.440344,-99.20105
223,177 - BENJAMIN HILL-CARLOS ZETINA,H-C,Hipódromo Condesa,177,177 BENJAMIN HILL-CARLOS ZETINA,"[176, 178, 190]",BIKE,,19.408841,-99.181692
224,178 - Tamaulipas-Francisco Murguía,H-C,Hipódromo Condesa,178,178 TAMAULIPAS-FRANCISCO MURGUÍA,"[166, 167, 177]","BIKE,TPV",,19.406833,-99.180457
225,073 - Campeche - Tamaulipas,H-C,Hipódromo Condesa,73,73 CAMPECHE-TAMAULIPAS,"[67, 68, 75]",BIKE,06170,19.410245,-99.175612
226,075 - Alfonso Reyes - Atlixco,H-C,Hipódromo Condesa,75,75 ALFONSO REYES-ATLIXCO,"[73, 77, 78]",BIKE,06170,19.408722,-99.17669
227,076 - Amsterdam - Chilpancingo,HIP,Hipódromo,76,76 AMSTERDAM-CHILPANCINGO,"[70, 71, 74]",BIKE,06100,19.409439,-99.170462
