"Genero_Usuario","Edad_Usuario","Bici","Ciclo_Estacion_Retiro","Fecha_hora_retiro","Ciclo_Estacion_Arribo","Fecha_hora_arribo","Distancia_km","Duracion_viaje"
"F",31,1760,43,2015-12-26 11:50:29,9,2015-12-26 12:13:54,2.63,23
"M",26,1078,412,2015-12-05 17:32:59,306,2015-12-05 17:56:58,3,23
"F",24,1287,82,2015-12-05 18:46:49,176,2015-12-05 18:59:23,1.39,12
"F",33,2955,96,2015-12-13 19:25:40,95,2015-12-13 19:36:52,0.92,11
"F",59,4515,310,2015-12-11 08:02:18,292,2015-12-11 08:16:33,1.63,14
"M",32,3025,257,2015-12-23 13:50:18,174,2015-12-23 13:56:29,0.94,6
"M",48,218,211,2015-12-05 15:51:22,204,2015-12-05 15:55:06,0.4,3
"F",32,2606,380,2015-12-28 22:43:47,434,2015-12-28 22:51:54,1.25,8
"M",35,3928,66,2015-12-28 08:35:10,69,2015-12-28 08:41:20,1.11,6
"M",31,3061,382,2015-12-07 13:03:11,309,2015-12-07 13:12:47,1.95,9
"M",27,6402,50,2015-12-18 18:17:49,251,2015-12-18 18:32:07,1.38,14
"F",26,5778,39,2015-12-03 14:27:26,21,2015-12-03 14:33:37,0.84,6
"M",26,2511,137,2015-12-07 13:31:39,146,2015-12-07 13:45:04,1.27,13
"M",48,5398,179,2015-12-24 13:14:39,150,2015-12-24 13:20:30,0.97,5
"M",29,2534,64,2015-12-24 13:05:47,246,2015-12-24 13:18:18,2.71,12
"M",39,5135,134,2015-12-02 14:09:47,116,2015-12-02 14:22:51,1.22,13
"F",35,4350,53,2015-12-08 19:53:04,137,2015-12-08 20:10:34,2.28,17
"M",23,5662,292,2015-12-23 15:17:31,317,2015-12-23 15:20:31,0.6,2
"F",36,5887,6,2015-12-29 12:12:20,12,2015-12-29 12:15:54,0.58,3
"M",35,4872,267,2015-12-03 08:42:07,63,2015-12-03 09:02:26,3.9,20
"F",56,2853,27,2015-12-26 15:40:17,88,2015-12-26 16:01:16,2.91,20
"M",27,6123,347,2015-12-10 10:23:14,365,NA,1.17,NA
"M",35,4116,264,2015-12-23 06:10:40,3,2015-12-23 06:17:59,1.19,7
"M",30,2508,86,2015-12-11 10:07:15,2,2015-12-11 10:16:22,1.33,9
"M",31,5866,166,2015-12-22 15:57:25,182,2015-12-22 16:03:22,1.35,5
"M",51,5004,334,2015-12-11 12:10:51,304,2015-12-11 12:29:42,0.95,18
"M",33,1554,9,NA,173,NA,2.99,NA
"M",38,1941,225,2015-12-18 11:43:27,16,2015-12-18 11:54:04,1.8,10
"M",29,2749,277,2015-12-08 16:09:40,37,2015-12-08 16:23:52,2.51,14
"M",22,137,396,2015-12-16 22:25:47,408,2015-12-16 22:33:54,1.5,8
